HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-04-14 20:00;2024-04-14 22:00;DK1;724,890015;97,160004
2024-04-14 19:00;2024-04-14 21:00;DK1;840,159973;112,610001
2024-04-14 18:00;2024-04-14 20:00;DK1;894,619995;119,910004
2024-04-14 17:00;2024-04-14 19:00;DK1;655,059998;87,800003
2024-04-14 16:00;2024-04-14 18:00;DK1;407,510010;54,619999
2024-04-14 15:00;2024-04-14 17:00;DK1;11,710000;1,570000
2024-04-14 14:00;2024-04-14 16:00;DK1;-46,630001;-6,250000
2024-04-14 13:00;2024-04-14 15:00;DK1;-298,809998;-40,049999
2024-04-14 12:00;2024-04-14 14:00;DK1;-447,720001;-60,009998
2024-04-14 11:00;2024-04-14 13:00;DK1;-448,019989;-60,049999
2024-04-14 10:00;2024-04-14 12:00;DK1;-315,070007;-42,230000
2024-04-14 09:00;2024-04-14 11:00;DK1;-90,800003;-12,170000
2024-04-14 08:00;2024-04-14 10:00;DK1;-17,680000;-2,370000
2024-04-14 07:00;2024-04-14 09:00;DK1;0,000000;0,000000
2024-04-14 06:00;2024-04-14 08:00;DK1;55,279999;7,410000
2024-04-14 05:00;2024-04-14 07:00;DK1;96,989998;13,000000
2024-04-14 04:00;2024-04-14 06:00;DK1;95,949997;12,860000
2024-04-14 03:00;2024-04-14 05:00;DK1;44,389999;5,950000
2024-04-14 02:00;2024-04-14 04:00;DK1;17,459999;2,340000
2024-04-14 01:00;2024-04-14 03:00;DK1;8,430000;1,130000
2024-04-14 00:00;2024-04-14 02:00;DK1;6,940000;0,930000
2024-04-13 23:00;2024-04-14 01:00;DK1;6,190000;0,830000
2024-04-13 22:00;2024-04-14 00:00;DK1;3,210000;0,430000
2024-04-13 21:00;2024-04-13 23:00;DK1;52,590000;7,050000
2024-04-13 20:00;2024-04-13 22:00;DK1;153,679993;20,600000
2024-04-13 19:00;2024-04-13 21:00;DK1;258,500000;34,650002
2024-04-13 18:00;2024-04-13 20:00;DK1;298,630005;40,029999
2024-04-13 17:00;2024-04-13 19:00;DK1;373,760010;50,099998
2024-04-13 16:00;2024-04-13 18:00;DK1;248,949997;33,369999
2024-04-13 15:00;2024-04-13 17:00;DK1;-1,190000;-0,160000
2024-04-13 14:00;2024-04-13 16:00;DK1;-142,710007;-19,129999
2024-04-13 13:00;2024-04-13 15:00;DK1;-235,740005;-31,600000
2024-04-13 12:00;2024-04-13 14:00;DK1;-218,729996;-29,320000
2024-04-13 11:00;2024-04-13 13:00;DK1;-150,699997;-20,200001
2024-04-13 10:00;2024-04-13 12:00;DK1;-59,830002;-8,020000
2024-04-13 09:00;2024-04-13 11:00;DK1;-30,139999;-4,040000
2024-04-13 08:00;2024-04-13 10:00;DK1;-0,150000;-0,020000
2024-04-13 07:00;2024-04-13 09:00;DK1;65,650002;8,800000
2024-04-13 06:00;2024-04-13 08:00;DK1;168,600006;22,600000
2024-04-13 05:00;2024-04-13 07:00;DK1;251,630005;33,730000
2024-04-13 04:00;2024-04-13 06:00;DK1;207,619995;27,830000
2024-04-13 03:00;2024-04-13 05:00;DK1;173,899994;23,309999
2024-04-13 02:00;2024-04-13 04:00;DK1;130,259995;17,459999
2024-04-13 01:00;2024-04-13 03:00;DK1;130,779999;17,530001
2024-04-13 00:00;2024-04-13 02:00;DK1;144,429993;19,360001
2024-04-12 23:00;2024-04-13 01:00;DK1;193,369995;25,920000
2024-04-12 22:00;2024-04-13 00:00;DK1;246,039993;32,980000
2024-04-12 21:00;2024-04-12 23:00;DK1;329,200012;44,130001
2024-04-12 20:00;2024-04-12 22:00;DK1;342,329987;45,889999
2024-04-12 19:00;2024-04-12 21:00;DK1;351,429993;47,110001
2024-04-12 18:00;2024-04-12 20:00;DK1;369,489990;49,529999
2024-04-12 17:00;2024-04-12 19:00;DK1;370,160004;49,619999
2024-04-12 16:00;2024-04-12 18:00;DK1;445,279999;59,689999
2024-04-12 15:00;2024-04-12 17:00;DK1;375,600006;50,349998
2024-04-12 14:00;2024-04-12 16:00;DK1;1,640000;0,220000
2024-04-12 13:00;2024-04-12 15:00;DK1;1,340000;0,180000
2024-04-12 12:00;2024-04-12 14:00;DK1;0,070000;0,010000
2024-04-12 11:00;2024-04-12 13:00;DK1;-0,520000;-0,070000
2024-04-12 10:00;2024-04-12 12:00;DK1;0,000000;0,000000
2024-04-12 09:00;2024-04-12 11:00;DK1;140,690002;18,860001
2024-04-12 08:00;2024-04-12 10:00;DK1;319,730011;42,860001
2024-04-12 07:00;2024-04-12 09:00;DK1;489,290009;65,589996
2024-04-12 06:00;2024-04-12 08:00;DK1;516,750000;69,269997
2024-04-12 05:00;2024-04-12 07:00;DK1;362,619995;48,610001
2024-04-12 04:00;2024-04-12 06:00;DK1;308,019989;41,290001
2024-04-12 03:00;2024-04-12 05:00;DK1;298,399994;40,000000
2024-04-12 02:00;2024-04-12 04:00;DK1;298,399994;40,000000
2024-04-12 01:00;2024-04-12 03:00;DK1;304,510010;40,820000
2024-04-12 00:00;2024-04-12 02:00;DK1;331,739990;44,470001
2024-04-11 23:00;2024-04-12 01:00;DK1;325,029999;43,570000
2024-04-11 22:00;2024-04-12 00:00;DK1;339,720001;45,540001
2024-04-11 21:00;2024-04-11 23:00;DK1;451,059998;60,470001
2024-04-11 20:00;2024-04-11 22:00;DK1;541,159973;72,550003
2024-04-11 19:00;2024-04-11 21:00;DK1;679,159973;91,050003
2024-04-11 18:00;2024-04-11 20:00;DK1;893,609985;119,800003
2024-04-11 17:00;2024-04-11 19:00;DK1;1002,210022;134,360001
2024-04-11 16:00;2024-04-11 18:00;DK1;711,750000;95,419998
2024-04-11 15:00;2024-04-11 17:00;DK1;347,070007;46,529999
2024-04-11 14:00;2024-04-11 16:00;DK1;64,750000;8,680000
2024-04-11 13:00;2024-04-11 15:00;DK1;96,070000;12,880000
2024-04-11 12:00;2024-04-11 14:00;DK1;4,250000;0,570000
2024-04-11 11:00;2024-04-11 13:00;DK1;8,210000;1,100000
2024-04-11 10:00;2024-04-11 12:00;DK1;6,790000;0,910000
2024-04-11 09:00;2024-04-11 11:00;DK1;6,410000;0,860000
2024-04-11 08:00;2024-04-11 10:00;DK1;74,959999;10,050000
2024-04-11 07:00;2024-04-11 09:00;DK1;223,770004;30,000000
2024-04-11 06:00;2024-04-11 08:00;DK1;309,929993;41,549999
2024-04-11 05:00;2024-04-11 07:00;DK1;297,399994;39,869999
2024-04-11 04:00;2024-04-11 06:00;DK1;192,070007;25,750000
2024-04-11 03:00;2024-04-11 05:00;DK1;149,179993;20,000000
2024-04-11 02:00;2024-04-11 04:00;DK1;59,520000;7,980000
2024-04-11 01:00;2024-04-11 03:00;DK1;74,519997;9,990000
2024-04-11 00:00;2024-04-11 02:00;DK1;165,589996;22,200001
2024-04-10 23:00;2024-04-11 01:00;DK1;198,940002;26,670000
2024-04-10 22:00;2024-04-11 00:00;DK1;303,440002;40,680000
2024-04-10 21:00;2024-04-10 23:00;DK1;352,200012;47,220001
2024-04-10 20:00;2024-04-10 22:00;DK1;392,029999;52,560001
2024-04-10 19:00;2024-04-10 21:00;DK1;722,380005;96,849998
2024-04-10 18:00;2024-04-10 20:00;DK1;1052,430054;141,100006
2024-04-10 17:00;2024-04-10 19:00;DK1;1084,949951;145,460007
2024-04-10 16:00;2024-04-10 18:00;DK1;616,469971;82,650002
2024-04-10 15:00;2024-04-10 17:00;DK1;122,169998;16,379999
2024-04-10 14:00;2024-04-10 16:00;DK1;39,529999;5,300000
2024-04-10 13:00;2024-04-10 15:00;DK1;2,090000;0,280000
2024-04-10 12:00;2024-04-10 14:00;DK1;0,450000;0,060000
2024-04-10 11:00;2024-04-10 13:00;DK1;66,610001;8,930000
2024-04-10 10:00;2024-04-10 12:00;DK1;143,279999;19,209999
